Epoch: 1/400 | Train Loss: 1.73193 | Valid Loss: 1.71704
Epoch: 2/400 | Train Loss: 1.68513 | Valid Loss: 1.65495
Epoch: 3/400 | Train Loss: 1.63191 | Valid Loss: 1.62304
Epoch: 4/400 | Train Loss: 1.61205 | Valid Loss: 1.60388
Epoch: 5/400 | Train Loss: 1.59347 | Valid Loss: 1.57977
Epoch: 6/400 | Train Loss: 1.56818 | Valid Loss: 1.54706
Epoch: 7/400 | Train Loss: 1.54164 | Valid Loss: 1.51662
Epoch: 8/400 | Train Loss: 1.51559 | Valid Loss: 1.49798
Epoch: 9/400 | Train Loss: 1.50701 | Valid Loss: 1.48506
Epoch: 10/400 | Train Loss: 1.50038 | Valid Loss: 1.49997
Epoch: 11/400 | Train Loss: 1.50063 | Valid Loss: 1.48688
Epoch: 12/400 | Train Loss: 1.48665 | Valid Loss: 1.47668
Epoch: 13/400 | Train Loss: 1.48396 | Valid Loss: 1.46831
Epoch: 14/400 | Train Loss: 1.47967 | Valid Loss: 1.46895
Epoch: 15/400 | Train Loss: 1.47809 | Valid Loss: 1.4681
Epoch: 16/400 | Train Loss: 1.47447 | Valid Loss: 1.46505
Epoch: 17/400 | Train Loss: 1.47215 | Valid Loss: 1.47792
Epoch: 18/400 | Train Loss: 1.46984 | Valid Loss: 1.46687
Epoch: 19/400 | Train Loss: 1.47276 | Valid Loss: 1.46677
Epoch: 20/400 | Train Loss: 1.46971 | Valid Loss: 1.46546
Epoch: 21/400 | Train Loss: 1.46271 | Valid Loss: 1.44752
Epoch: 22/400 | Train Loss: 1.45924 | Valid Loss: 1.44813
Epoch: 23/400 | Train Loss: 1.46035 | Valid Loss: 1.44668
Epoch: 24/400 | Train Loss: 1.46032 | Valid Loss: 1.46704
Epoch: 25/400 | Train Loss: 1.45856 | Valid Loss: 1.44172
Epoch: 26/400 | Train Loss: 1.45904 | Valid Loss: 1.44331
Epoch: 27/400 | Train Loss: 1.45888 | Valid Loss: 1.44298
Epoch: 28/400 | Train Loss: 1.45585 | Valid Loss: 1.43903
Epoch: 29/400 | Train Loss: 1.45707 | Valid Loss: 1.45227
Epoch: 30/400 | Train Loss: 1.45399 | Valid Loss: 1.43459
Epoch: 31/400 | Train Loss: 1.45446 | Valid Loss: 1.45084
Epoch: 32/400 | Train Loss: 1.45113 | Valid Loss: 1.44516
Epoch: 33/400 | Train Loss: 1.45311 | Valid Loss: 1.43608
Epoch: 34/400 | Train Loss: 1.45175 | Valid Loss: 1.43379
Epoch: 35/400 | Train Loss: 1.44876 | Valid Loss: 1.42487
Epoch: 36/400 | Train Loss: 1.4457 | Valid Loss: 1.42623
Epoch: 37/400 | Train Loss: 1.44918 | Valid Loss: 1.44631
Epoch: 38/400 | Train Loss: 1.44995 | Valid Loss: 1.43277
Epoch: 39/400 | Train Loss: 1.44986 | Valid Loss: 1.44585
Epoch: 40/400 | Train Loss: 1.44745 | Valid Loss: 1.43833
Epoch: 41/400 | Train Loss: 1.45277 | Valid Loss: 1.44076
Epoch: 42/400 | Train Loss: 1.45549 | Valid Loss: 1.4374
Epoch: 43/400 | Train Loss: 1.45186 | Valid Loss: 1.4399
Epoch: 44/400 | Train Loss: 1.45392 | Valid Loss: 1.4488
Epoch: 45/400 | Train Loss: 1.4623 | Valid Loss: 1.46295
Epoch: 46/400 | Train Loss: 1.45496 | Valid Loss: 1.45199
Epoch: 47/400 | Train Loss: 1.45415 | Valid Loss: 1.43819
Epoch: 48/400 | Train Loss: 1.43836 | Valid Loss: 1.41633
Epoch: 49/400 | Train Loss: 1.42785 | Valid Loss: 1.41142
Epoch: 50/400 | Train Loss: 1.42522 | Valid Loss: 1.40336
Epoch: 51/400 | Train Loss: 1.42237 | Valid Loss: 1.40066
Epoch: 52/400 | Train Loss: 1.42055 | Valid Loss: 1.40019
Epoch: 53/400 | Train Loss: 1.41906 | Valid Loss: 1.3985
Epoch: 54/400 | Train Loss: 1.41854 | Valid Loss: 1.39775
Epoch: 55/400 | Train Loss: 1.41706 | Valid Loss: 1.39697
Epoch: 56/400 | Train Loss: 1.41799 | Valid Loss: 1.39835
Epoch: 57/400 | Train Loss: 1.41468 | Valid Loss: 1.39334
Epoch: 58/400 | Train Loss: 1.41722 | Valid Loss: 1.39598
Epoch: 59/400 | Train Loss: 1.41497 | Valid Loss: 1.40173
Epoch: 60/400 | Train Loss: 1.41669 | Valid Loss: 1.39787
Epoch: 61/400 | Train Loss: 1.41339 | Valid Loss: 1.39632
Epoch: 62/400 | Train Loss: 1.41205 | Valid Loss: 1.39721
Epoch: 63/400 | Train Loss: 1.41153 | Valid Loss: 1.39334
Epoch: 64/400 | Train Loss: 1.41148 | Valid Loss: 1.39552
Epoch: 65/400 | Train Loss: 1.41223 | Valid Loss: 1.39115
Epoch: 66/400 | Train Loss: 1.41128 | Valid Loss: 1.39255
Epoch: 67/400 | Train Loss: 1.40923 | Valid Loss: 1.38863
Epoch: 68/400 | Train Loss: 1.41057 | Valid Loss: 1.38941
Epoch: 69/400 | Train Loss: 1.40977 | Valid Loss: 1.38827
Epoch: 70/400 | Train Loss: 1.40789 | Valid Loss: 1.39186
Epoch: 71/400 | Train Loss: 1.40842 | Valid Loss: 1.38992
Epoch: 72/400 | Train Loss: 1.40916 | Valid Loss: 1.38642
Epoch: 73/400 | Train Loss: 1.40825 | Valid Loss: 1.38833
Epoch: 74/400 | Train Loss: 1.40795 | Valid Loss: 1.3864
Epoch: 75/400 | Train Loss: 1.40907 | Valid Loss: 1.38883
Epoch: 76/400 | Train Loss: 1.40757 | Valid Loss: 1.38814
Epoch: 77/400 | Train Loss: 1.40674 | Valid Loss: 1.38595
Epoch: 78/400 | Train Loss: 1.40738 | Valid Loss: 1.38767
Epoch: 79/400 | Train Loss: 1.40768 | Valid Loss: 1.38816
Epoch: 80/400 | Train Loss: 1.40638 | Valid Loss: 1.38585
Epoch: 81/400 | Train Loss: 1.40607 | Valid Loss: 1.38505
Epoch: 82/400 | Train Loss: 1.40682 | Valid Loss: 1.38462
Epoch: 83/400 | Train Loss: 1.40527 | Valid Loss: 1.38409
Epoch: 84/400 | Train Loss: 1.40363 | Valid Loss: 1.38289
Epoch: 85/400 | Train Loss: 1.40371 | Valid Loss: 1.38301
Epoch: 86/400 | Train Loss: 1.40402 | Valid Loss: 1.38395
Epoch: 87/400 | Train Loss: 1.40403 | Valid Loss: 1.3828
Epoch: 88/400 | Train Loss: 1.40283 | Valid Loss: 1.38187
Epoch: 89/400 | Train Loss: 1.40281 | Valid Loss: 1.38407
Epoch: 90/400 | Train Loss: 1.40317 | Valid Loss: 1.38203
Epoch: 91/400 | Train Loss: 1.40335 | Valid Loss: 1.37995
Epoch: 92/400 | Train Loss: 1.40173 | Valid Loss: 1.38161
Epoch: 93/400 | Train Loss: 1.40328 | Valid Loss: 1.38137
Epoch: 94/400 | Train Loss: 1.40404 | Valid Loss: 1.38037
Epoch: 95/400 | Train Loss: 1.40124 | Valid Loss: 1.3817
Epoch: 96/400 | Train Loss: 1.40066 | Valid Loss: 1.3805
Epoch: 97/400 | Train Loss: 1.40072 | Valid Loss: 1.37994
Epoch: 98/400 | Train Loss: 1.40057 | Valid Loss: 1.37983
Epoch: 99/400 | Train Loss: 1.40261 | Valid Loss: 1.38062
Epoch: 100/400 | Train Loss: 1.40248 | Valid Loss: 1.38113
Epoch: 101/400 | Train Loss: 1.40141 | Valid Loss: 1.38098
Epoch: 102/400 | Train Loss: 1.4014 | Valid Loss: 1.38279
Epoch: 103/400 | Train Loss: 1.40199 | Valid Loss: 1.38122
Epoch: 104/400 | Train Loss: 1.39919 | Valid Loss: 1.37541
Epoch: 105/400 | Train Loss: 1.39953 | Valid Loss: 1.38121
Epoch: 106/400 | Train Loss: 1.39945 | Valid Loss: 1.37918
Epoch: 107/400 | Train Loss: 1.39856 | Valid Loss: 1.37937
Epoch: 108/400 | Train Loss: 1.39797 | Valid Loss: 1.38117
Epoch: 109/400 | Train Loss: 1.39944 | Valid Loss: 1.38149
Epoch: 110/400 | Train Loss: 1.39918 | Valid Loss: 1.37864
Epoch: 111/400 | Train Loss: 1.40115 | Valid Loss: 1.3764
Epoch: 112/400 | Train Loss: 1.39699 | Valid Loss: 1.37592
Epoch: 113/400 | Train Loss: 1.39777 | Valid Loss: 1.37871
Epoch: 114/400 | Train Loss: 1.39809 | Valid Loss: 1.37861
Epoch: 115/400 | Train Loss: 1.39872 | Valid Loss: 1.37729
Epoch: 116/400 | Train Loss: 1.39792 | Valid Loss: 1.37457
Epoch: 117/400 | Train Loss: 1.39776 | Valid Loss: 1.37612
Epoch: 118/400 | Train Loss: 1.39737 | Valid Loss: 1.37604
Epoch: 119/400 | Train Loss: 1.39956 | Valid Loss: 1.37805
Epoch: 120/400 | Train Loss: 1.39888 | Valid Loss: 1.3801
Epoch: 121/400 | Train Loss: 1.39881 | Valid Loss: 1.37843
Epoch: 122/400 | Train Loss: 1.39646 | Valid Loss: 1.37497
Epoch: 123/400 | Train Loss: 1.39684 | Valid Loss: 1.37688
Epoch: 124/400 | Train Loss: 1.399 | Valid Loss: 1.37673
Epoch: 125/400 | Train Loss: 1.39853 | Valid Loss: 1.37495
Epoch: 126/400 | Train Loss: 1.39833 | Valid Loss: 1.38015
Epoch: 127/400 | Train Loss: 1.39807 | Valid Loss: 1.37848
Epoch: 128/400 | Train Loss: 1.39636 | Valid Loss: 1.37572
Epoch: 129/400 | Train Loss: 1.39559 | Valid Loss: 1.37465
Epoch: 130/400 | Train Loss: 1.39598 | Valid Loss: 1.37369
Epoch: 131/400 | Train Loss: 1.39783 | Valid Loss: 1.37634
Epoch: 132/400 | Train Loss: 1.39695 | Valid Loss: 1.3739
Epoch: 133/400 | Train Loss: 1.39558 | Valid Loss: 1.37339
Epoch: 134/400 | Train Loss: 1.39586 | Valid Loss: 1.37499
Epoch: 135/400 | Train Loss: 1.3961 | Valid Loss: 1.37395
Epoch: 136/400 | Train Loss: 1.39447 | Valid Loss: 1.37071
Epoch: 137/400 | Train Loss: 1.39509 | Valid Loss: 1.37339
Epoch: 138/400 | Train Loss: 1.39507 | Valid Loss: 1.37196
Epoch: 139/400 | Train Loss: 1.39417 | Valid Loss: 1.37384
Epoch: 140/400 | Train Loss: 1.3934 | Valid Loss: 1.36979
Epoch: 141/400 | Train Loss: 1.39413 | Valid Loss: 1.37212
Epoch: 142/400 | Train Loss: 1.39417 | Valid Loss: 1.37002
Epoch: 143/400 | Train Loss: 1.39372 | Valid Loss: 1.37079
Epoch: 144/400 | Train Loss: 1.39489 | Valid Loss: 1.37277
Epoch: 145/400 | Train Loss: 1.39421 | Valid Loss: 1.37349
Epoch: 146/400 | Train Loss: 1.3926 | Valid Loss: 1.3695
Epoch: 147/400 | Train Loss: 1.39369 | Valid Loss: 1.37134
Epoch: 148/400 | Train Loss: 1.39451 | Valid Loss: 1.37319
Epoch: 149/400 | Train Loss: 1.39264 | Valid Loss: 1.37074
Epoch: 150/400 | Train Loss: 1.39312 | Valid Loss: 1.36963
Epoch: 151/400 | Train Loss: 1.39219 | Valid Loss: 1.36982
Epoch: 152/400 | Train Loss: 1.39425 | Valid Loss: 1.37273
Epoch: 153/400 | Train Loss: 1.39469 | Valid Loss: 1.37112
Epoch: 154/400 | Train Loss: 1.39357 | Valid Loss: 1.37208
Epoch: 155/400 | Train Loss: 1.39425 | Valid Loss: 1.37099
Epoch: 156/400 | Train Loss: 1.39356 | Valid Loss: 1.3707
Epoch: 157/400 | Train Loss: 1.39158 | Valid Loss: 1.37259
Epoch: 158/400 | Train Loss: 1.39236 | Valid Loss: 1.36775
Epoch: 159/400 | Train Loss: 1.39209 | Valid Loss: 1.36976
Epoch: 160/400 | Train Loss: 1.39234 | Valid Loss: 1.37082
Epoch: 161/400 | Train Loss: 1.39144 | Valid Loss: 1.36842
Epoch: 162/400 | Train Loss: 1.39215 | Valid Loss: 1.3713
Epoch: 163/400 | Train Loss: 1.39151 | Valid Loss: 1.36693
Epoch: 164/400 | Train Loss: 1.39089 | Valid Loss: 1.37497
Epoch: 165/400 | Train Loss: 1.39034 | Valid Loss: 1.36742
Epoch: 166/400 | Train Loss: 1.39079 | Valid Loss: 1.36894
Epoch: 167/400 | Train Loss: 1.39025 | Valid Loss: 1.36726
Epoch: 168/400 | Train Loss: 1.39011 | Valid Loss: 1.37242
Epoch: 169/400 | Train Loss: 1.39114 | Valid Loss: 1.36545
