Epoch: 1/500 | Train Loss: 0.0846323 | Valid Loss: 0.0733638
Epoch: 2/500 | Train Loss: 0.0749714 | Valid Loss: 0.0702422
Epoch: 3/500 | Train Loss: 0.0730142 | Valid Loss: 0.0688125
Epoch: 4/500 | Train Loss: 0.0719151 | Valid Loss: 0.0694718
Epoch: 5/500 | Train Loss: 0.071309 | Valid Loss: 0.0673669
Epoch: 6/500 | Train Loss: 0.0710306 | Valid Loss: 0.0671925
Epoch: 7/500 | Train Loss: 0.0705279 | Valid Loss: 0.071727
Epoch: 8/500 | Train Loss: 0.0711283 | Valid Loss: 0.0671262
Epoch: 9/500 | Train Loss: 0.0697765 | Valid Loss: 0.0672556
Epoch: 10/500 | Train Loss: 0.070315 | Valid Loss: 0.0663308
Epoch: 11/500 | Train Loss: 0.0698173 | Valid Loss: 0.0663916
Epoch: 12/500 | Train Loss: 0.0696521 | Valid Loss: 0.0671087
Epoch: 13/500 | Train Loss: 0.0695641 | Valid Loss: 0.0686161
Epoch: 14/500 | Train Loss: 0.069788 | Valid Loss: 0.0674386
Epoch: 15/500 | Train Loss: 0.0692496 | Valid Loss: 0.0664338
Epoch: 16/500 | Train Loss: 0.0692223 | Valid Loss: 0.0670871
Epoch: 17/500 | Train Loss: 0.0691961 | Valid Loss: 0.0656312
Epoch: 18/500 | Train Loss: 0.0688213 | Valid Loss: 0.0669143
Epoch: 19/500 | Train Loss: 0.0687605 | Valid Loss: 0.0674748
Epoch: 20/500 | Train Loss: 0.0690017 | Valid Loss: 0.0666255
Epoch: 21/500 | Train Loss: 0.0694228 | Valid Loss: 0.0664755
Epoch: 22/500 | Train Loss: 0.069222 | Valid Loss: 0.0657379
Epoch: 23/500 | Train Loss: 0.0684784 | Valid Loss: 0.0662031
Epoch: 24/500 | Train Loss: 0.0691707 | Valid Loss: 0.0657222
Epoch: 25/500 | Train Loss: 0.0687934 | Valid Loss: 0.0659838
Epoch: 26/500 | Train Loss: 0.0680465 | Valid Loss: 0.0661807
Epoch: 27/500 | Train Loss: 0.0684996 | Valid Loss: 0.0674769
Epoch: 28/500 | Train Loss: 0.0685023 | Valid Loss: 0.0648164
Epoch: 29/500 | Train Loss: 0.0681705 | Valid Loss: 0.0659038
Epoch: 30/500 | Train Loss: 0.0678463 | Valid Loss: 0.0648078
Epoch: 31/500 | Train Loss: 0.0680218 | Valid Loss: 0.0660687
Epoch: 32/500 | Train Loss: 0.0690662 | Valid Loss: 0.0653338
Epoch: 33/500 | Train Loss: 0.0683308 | Valid Loss: 0.0659412
Epoch: 34/500 | Train Loss: 0.0683781 | Valid Loss: 0.0651105
Epoch: 35/500 | Train Loss: 0.0679141 | Valid Loss: 0.0649333
Epoch: 36/500 | Train Loss: 0.0679235 | Valid Loss: 0.0650173
Epoch: 37/500 | Train Loss: 0.0676235 | Valid Loss: 0.0644831
Epoch: 38/500 | Train Loss: 0.068188 | Valid Loss: 0.0655203
Epoch: 39/500 | Train Loss: 0.0679463 | Valid Loss: 0.0670612
Epoch: 40/500 | Train Loss: 0.067546 | Valid Loss: 0.0653345
Epoch: 41/500 | Train Loss: 0.067679 | Valid Loss: 0.0643013
Epoch: 42/500 | Train Loss: 0.067603 | Valid Loss: 0.0649269
Epoch: 43/500 | Train Loss: 0.0674585 | Valid Loss: 0.0651958
Epoch: 44/500 | Train Loss: 0.0674915 | Valid Loss: 0.0646933
Epoch: 45/500 | Train Loss: 0.0676895 | Valid Loss: 0.0652926
Epoch: 46/500 | Train Loss: 0.0675073 | Valid Loss: 0.0649261
Epoch: 47/500 | Train Loss: 0.0675873 | Valid Loss: 0.0656366
Epoch: 48/500 | Train Loss: 0.067631 | Valid Loss: 0.0651838
Epoch: 49/500 | Train Loss: 0.0673312 | Valid Loss: 0.0649817
Epoch: 50/500 | Train Loss: 0.0673643 | Valid Loss: 0.066073
Epoch: 51/500 | Train Loss: 0.0673363 | Valid Loss: 0.0656231
Epoch: 52/500 | Train Loss: 0.0673638 | Valid Loss: 0.0644731
Epoch: 53/500 | Train Loss: 0.067432 | Valid Loss: 0.0658228
Epoch: 54/500 | Train Loss: 0.067188 | Valid Loss: 0.0656795
Epoch: 55/500 | Train Loss: 0.0675291 | Valid Loss: 0.0646614
Epoch: 56/500 | Train Loss: 0.0672918 | Valid Loss: 0.0649623
Epoch: 57/500 | Train Loss: 0.0673286 | Valid Loss: 0.0643121
Epoch: 58/500 | Train Loss: 0.0671467 | Valid Loss: 0.0650384
Epoch: 59/500 | Train Loss: 0.0673237 | Valid Loss: 0.0644909
Epoch: 60/500 | Train Loss: 0.067085 | Valid Loss: 0.064784
Epoch: 61/500 | Train Loss: 0.0670684 | Valid Loss: 0.0647516
Epoch: 62/500 | Train Loss: 0.0676753 | Valid Loss: 0.0657216
Epoch: 63/500 | Train Loss: 0.0676533 | Valid Loss: 0.0647882
Epoch: 64/500 | Train Loss: 0.0675067 | Valid Loss: 0.0646388
Epoch: 65/500 | Train Loss: 0.0674611 | Valid Loss: 0.0651263
Epoch: 66/500 | Train Loss: 0.0673158 | Valid Loss: 0.0650367
Epoch: 67/500 | Train Loss: 0.0669364 | Valid Loss: 0.0653419
Epoch: 68/500 | Train Loss: 0.0671753 | Valid Loss: 0.0649247
Epoch: 69/500 | Train Loss: 0.0672658 | Valid Loss: 0.0648969
Epoch: 70/500 | Train Loss: 0.0671748 | Valid Loss: 0.0651295
Epoch: 71/500 | Train Loss: 0.0671822 | Valid Loss: 0.0644887
Epoch: 72/500 | Train Loss: 0.0669168 | Valid Loss: 0.0641252
Epoch: 73/500 | Train Loss: 0.0667864 | Valid Loss: 0.0648349
Epoch: 74/500 | Train Loss: 0.0669303 | Valid Loss: 0.0646823
Epoch: 75/500 | Train Loss: 0.0672042 | Valid Loss: 0.0648733
Epoch: 76/500 | Train Loss: 0.0670201 | Valid Loss: 0.0646082
Epoch: 77/500 | Train Loss: 0.0669745 | Valid Loss: 0.0648135
Epoch: 78/500 | Train Loss: 0.0667232 | Valid Loss: 0.0644423
Epoch: 79/500 | Train Loss: 0.0667345 | Valid Loss: 0.0644807
Epoch: 80/500 | Train Loss: 0.0675027 | Valid Loss: 0.0654018
Epoch: 81/500 | Train Loss: 0.0669235 | Valid Loss: 0.0644347
Epoch: 82/500 | Train Loss: 0.0670527 | Valid Loss: 0.06463
Epoch: 83/500 | Train Loss: 0.0668593 | Valid Loss: 0.0648285
Epoch: 84/500 | Train Loss: 0.0670997 | Valid Loss: 0.0646485
Epoch: 85/500 | Train Loss: 0.0672752 | Valid Loss: 0.0655411
Epoch: 86/500 | Train Loss: 0.0672777 | Valid Loss: 0.0649916
Epoch: 87/500 | Train Loss: 0.0669329 | Valid Loss: 0.0643778
Epoch: 88/500 | Train Loss: 0.0671589 | Valid Loss: 0.0652366
Epoch: 89/500 | Train Loss: 0.0671522 | Valid Loss: 0.0647345
Epoch: 90/500 | Train Loss: 0.0655673 | Valid Loss: 0.0631893
Epoch: 91/500 | Train Loss: 0.0652831 | Valid Loss: 0.0630249
Epoch: 92/500 | Train Loss: 0.0650205 | Valid Loss: 0.0629258
Epoch: 93/500 | Train Loss: 0.0650169 | Valid Loss: 0.0630306
Epoch: 94/500 | Train Loss: 0.0649314 | Valid Loss: 0.0627963
Epoch: 95/500 | Train Loss: 0.0649303 | Valid Loss: 0.0629293
Epoch: 96/500 | Train Loss: 0.0649375 | Valid Loss: 0.0630001
Epoch: 97/500 | Train Loss: 0.0648998 | Valid Loss: 0.0629336
Epoch: 98/500 | Train Loss: 0.0648734 | Valid Loss: 0.0629595
Epoch: 99/500 | Train Loss: 0.0648374 | Valid Loss: 0.0703779
Epoch: 100/500 | Train Loss: 0.0649094 | Valid Loss: 0.062963
Epoch: 101/500 | Train Loss: 0.0647872 | Valid Loss: 0.0627339
Epoch: 102/500 | Train Loss: 0.0648949 | Valid Loss: 0.0629282
Epoch: 103/500 | Train Loss: 0.0648571 | Valid Loss: 0.0628586
Epoch: 104/500 | Train Loss: 0.0651589 | Valid Loss: 0.0630071
Epoch: 105/500 | Train Loss: 0.065024 | Valid Loss: 0.0629867
Epoch: 106/500 | Train Loss: 0.064883 | Valid Loss: 0.062936
Epoch: 107/500 | Train Loss: 0.0648749 | Valid Loss: 0.0627645
Epoch: 108/500 | Train Loss: 0.0647179 | Valid Loss: 0.0627539
Epoch: 109/500 | Train Loss: 0.0647439 | Valid Loss: 0.0627514
Epoch: 110/500 | Train Loss: 0.0647742 | Valid Loss: 0.0628131
Epoch: 111/500 | Train Loss: 0.0646921 | Valid Loss: 0.0627185
Epoch: 112/500 | Train Loss: 0.064712 | Valid Loss: 0.0628373
Epoch: 113/500 | Train Loss: 0.0647139 | Valid Loss: 0.0625725
Epoch: 114/500 | Train Loss: 0.064666 | Valid Loss: 0.0625757
Epoch: 115/500 | Train Loss: 0.0645804 | Valid Loss: 0.0627802
Epoch: 116/500 | Train Loss: 0.0646776 | Valid Loss: 0.0625115
Epoch: 117/500 | Train Loss: 0.0645761 | Valid Loss: 0.0627407
Epoch: 118/500 | Train Loss: 0.06463 | Valid Loss: 0.0627617
Epoch: 119/500 | Train Loss: 0.0646842 | Valid Loss: 0.0626959
Epoch: 120/500 | Train Loss: 0.0645581 | Valid Loss: 0.0626423
Epoch: 121/500 | Train Loss: 0.0646833 | Valid Loss: 0.0624941
Epoch: 122/500 | Train Loss: 0.0646786 | Valid Loss: 0.0626366
Epoch: 123/500 | Train Loss: 0.0648473 | Valid Loss: 0.0627209
Epoch: 124/500 | Train Loss: 0.0647881 | Valid Loss: 0.0626954
Epoch: 125/500 | Train Loss: 0.0646658 | Valid Loss: 0.0626317
Epoch: 126/500 | Train Loss: 0.0647911 | Valid Loss: 0.0627504
Epoch: 127/500 | Train Loss: 0.0647632 | Valid Loss: 0.0628776
Epoch: 128/500 | Train Loss: 0.0646928 | Valid Loss: 0.0628767
Epoch: 129/500 | Train Loss: 0.0645866 | Valid Loss: 0.0628409
Epoch: 130/500 | Train Loss: 0.0646028 | Valid Loss: 0.0626727
Epoch: 131/500 | Train Loss: 0.0647131 | Valid Loss: 0.0628034
Epoch: 132/500 | Train Loss: 0.0644591 | Valid Loss: 0.0625358
Epoch: 133/500 | Train Loss: 0.0644032 | Valid Loss: 0.0625612
Epoch: 134/500 | Train Loss: 0.0642724 | Valid Loss: 0.0624143
Epoch: 135/500 | Train Loss: 0.0642347 | Valid Loss: 0.0623893
Epoch: 136/500 | Train Loss: 0.0642701 | Valid Loss: 0.0623782
Epoch: 137/500 | Train Loss: 0.0642715 | Valid Loss: 0.0623531
Epoch: 138/500 | Train Loss: 0.0642671 | Valid Loss: 0.0623805
Epoch: 139/500 | Train Loss: 0.0642081 | Valid Loss: 0.0624087
Epoch: 140/500 | Train Loss: 0.0641669 | Valid Loss: 0.0623508
Epoch: 141/500 | Train Loss: 0.0641886 | Valid Loss: 0.0622962
Epoch: 142/500 | Train Loss: 0.0641762 | Valid Loss: 0.0622838
Epoch: 143/500 | Train Loss: 0.0641156 | Valid Loss: 0.0624212
Epoch: 144/500 | Train Loss: 0.0640871 | Valid Loss: 0.0623135
Epoch: 145/500 | Train Loss: 0.0641985 | Valid Loss: 0.0622943
Epoch: 146/500 | Train Loss: 0.06412 | Valid Loss: 0.0623358
Epoch: 147/500 | Train Loss: 0.0640993 | Valid Loss: 0.0623314
Epoch: 148/500 | Train Loss: 0.064091 | Valid Loss: 0.0623165
Epoch: 149/500 | Train Loss: 0.064152 | Valid Loss: 0.0623841
Epoch: 150/500 | Train Loss: 0.0640729 | Valid Loss: 0.0623238
Epoch: 151/500 | Train Loss: 0.0641167 | Valid Loss: 0.0624434
Epoch: 152/500 | Train Loss: 0.0641169 | Valid Loss: 0.0624272
Epoch: 153/500 | Train Loss: 0.064072 | Valid Loss: 0.0623805
Epoch: 154/500 | Train Loss: 0.0640769 | Valid Loss: 0.0622471
Epoch: 155/500 | Train Loss: 0.0640899 | Valid Loss: 0.0624788
Epoch: 156/500 | Train Loss: 0.0640719 | Valid Loss: 0.062259
Epoch: 157/500 | Train Loss: 0.0640833 | Valid Loss: 0.0623152
Epoch: 158/500 | Train Loss: 0.0640562 | Valid Loss: 0.0622405
Epoch: 159/500 | Train Loss: 0.0640976 | Valid Loss: 0.0623158
Epoch: 160/500 | Train Loss: 0.0640654 | Valid Loss: 0.0622218
Epoch: 161/500 | Train Loss: 0.0640047 | Valid Loss: 0.0623283
Epoch: 162/500 | Train Loss: 0.0641221 | Valid Loss: 0.062229
Epoch: 163/500 | Train Loss: 0.0640956 | Valid Loss: 0.0622776
Epoch: 164/500 | Train Loss: 0.0640312 | Valid Loss: 0.0623297
Epoch: 165/500 | Train Loss: 0.0640478 | Valid Loss: 0.0622535
Epoch: 166/500 | Train Loss: 0.0640613 | Valid Loss: 0.0622318
Epoch: 167/500 | Train Loss: 0.0640495 | Valid Loss: 0.062226
Epoch: 168/500 | Train Loss: 0.0639986 | Valid Loss: 0.0622529
Epoch: 169/500 | Train Loss: 0.0640237 | Valid Loss: 0.062264
Epoch: 170/500 | Train Loss: 0.0641209 | Valid Loss: 0.0622151
Epoch: 171/500 | Train Loss: 0.0641199 | Valid Loss: 0.0621984
Epoch: 172/500 | Train Loss: 0.0640563 | Valid Loss: 0.0622137
Epoch: 173/500 | Train Loss: 0.0639999 | Valid Loss: 0.0622088
Epoch: 174/500 | Train Loss: 0.0639939 | Valid Loss: 0.062212
Epoch: 175/500 | Train Loss: 0.0640323 | Valid Loss: 0.0622426
Epoch: 176/500 | Train Loss: 0.0640327 | Valid Loss: 0.0624574
Epoch: 177/500 | Train Loss: 0.063988 | Valid Loss: 0.0622036
Epoch: 178/500 | Train Loss: 0.0640925 | Valid Loss: 0.0623148
Epoch: 179/500 | Train Loss: 0.0639854 | Valid Loss: 0.062268
Epoch: 180/500 | Train Loss: 0.063959 | Valid Loss: 0.0623372
Epoch: 181/500 | Train Loss: 0.0639847 | Valid Loss: 0.0622898
Epoch: 182/500 | Train Loss: 0.0640289 | Valid Loss: 0.0621684
Epoch: 183/500 | Train Loss: 0.0640075 | Valid Loss: 0.0622408
Epoch: 184/500 | Train Loss: 0.0639513 | Valid Loss: 0.0623258
Epoch: 185/500 | Train Loss: 0.063953 | Valid Loss: 0.0621694
Epoch: 186/500 | Train Loss: 0.0639338 | Valid Loss: 0.0621941
Epoch: 187/500 | Train Loss: 0.0639433 | Valid Loss: 0.062252
Epoch: 188/500 | Train Loss: 0.0639896 | Valid Loss: 0.0621418
Epoch: 189/500 | Train Loss: 0.0639737 | Valid Loss: 0.0621708
Epoch: 190/500 | Train Loss: 0.0639418 | Valid Loss: 0.0622394
Epoch: 191/500 | Train Loss: 0.063949 | Valid Loss: 0.0622614
Epoch: 192/500 | Train Loss: 0.0639636 | Valid Loss: 0.0623151
Epoch: 193/500 | Train Loss: 0.0639704 | Valid Loss: 0.0622296
Epoch: 194/500 | Train Loss: 0.0639897 | Valid Loss: 0.0621473
Epoch: 195/500 | Train Loss: 0.0639584 | Valid Loss: 0.0621925
Epoch: 196/500 | Train Loss: 0.0639871 | Valid Loss: 0.0621515
Epoch: 197/500 | Train Loss: 0.0640361 | Valid Loss: 0.0622619
Epoch: 198/500 | Train Loss: 0.0639825 | Valid Loss: 0.0622011
Epoch: 199/500 | Train Loss: 0.0639898 | Valid Loss: 0.0622712
Epoch: 200/500 | Train Loss: 0.0639299 | Valid Loss: 0.062141
Epoch: 201/500 | Train Loss: 0.0639566 | Valid Loss: 0.0622805
Epoch: 202/500 | Train Loss: 0.063932 | Valid Loss: 0.0621804
Epoch: 203/500 | Train Loss: 0.0639126 | Valid Loss: 0.0623294
Epoch: 204/500 | Train Loss: 0.0640148 | Valid Loss: 0.0622869
Epoch: 205/500 | Train Loss: 0.0639272 | Valid Loss: 0.0621829
Epoch: 206/500 | Train Loss: 0.0639824 | Valid Loss: 0.0621903
Epoch: 207/500 | Train Loss: 0.0639233 | Valid Loss: 0.0624376
Epoch: 208/500 | Train Loss: 0.0639795 | Valid Loss: 0.0622414
Epoch: 209/500 | Train Loss: 0.0639219 | Valid Loss: 0.0622019
Epoch: 210/500 | Train Loss: 0.0639034 | Valid Loss: 0.0622961
Epoch: 211/500 | Train Loss: 0.0638853 | Valid Loss: 0.0622343
Epoch: 212/500 | Train Loss: 0.0640266 | Valid Loss: 0.062295
Epoch: 213/500 | Train Loss: 0.0638799 | Valid Loss: 0.0621352
Epoch: 214/500 | Train Loss: 0.06397 | Valid Loss: 0.0622037
Epoch: 215/500 | Train Loss: 0.0639472 | Valid Loss: 0.062152
Epoch: 216/500 | Train Loss: 0.063933 | Valid Loss: 0.0624351
Epoch: 217/500 | Train Loss: 0.0639454 | Valid Loss: 0.0621897
Epoch: 218/500 | Train Loss: 0.0640065 | Valid Loss: 0.0623151
Epoch: 219/500 | Train Loss: 0.0639386 | Valid Loss: 0.0621918
Epoch: 220/500 | Train Loss: 0.0639632 | Valid Loss: 0.0622873
Epoch: 221/500 | Train Loss: 0.0639818 | Valid Loss: 0.0622671
Epoch: 222/500 | Train Loss: 0.0639355 | Valid Loss: 0.0622036
Epoch: 223/500 | Train Loss: 0.0639139 | Valid Loss: 0.0624615
Epoch: 224/500 | Train Loss: 0.0638995 | Valid Loss: 0.0621064
Epoch: 225/500 | Train Loss: 0.0639708 | Valid Loss: 0.0621938
Epoch: 226/500 | Train Loss: 0.0639138 | Valid Loss: 0.0621696
Epoch: 227/500 | Train Loss: 0.063852 | Valid Loss: 0.0621331
Epoch: 228/500 | Train Loss: 0.0639602 | Valid Loss: 0.062173
Epoch: 229/500 | Train Loss: 0.0639606 | Valid Loss: 0.0622222
Epoch: 230/500 | Train Loss: 0.0639602 | Valid Loss: 0.062103
Epoch: 231/500 | Train Loss: 0.0639732 | Valid Loss: 0.0622473
Epoch: 232/500 | Train Loss: 0.063953 | Valid Loss: 0.0622428
Epoch: 233/500 | Train Loss: 0.0638722 | Valid Loss: 0.0623697
Epoch: 234/500 | Train Loss: 0.0639584 | Valid Loss: 0.0621666
Epoch: 235/500 | Train Loss: 0.0639579 | Valid Loss: 0.0622592
Epoch: 236/500 | Train Loss: 0.0639332 | Valid Loss: 0.0621436
Epoch: 237/500 | Train Loss: 0.0639188 | Valid Loss: 0.0621698
Epoch: 238/500 | Train Loss: 0.0639245 | Valid Loss: 0.0622305
Epoch: 239/500 | Train Loss: 0.063867 | Valid Loss: 0.0621861
Epoch: 240/500 | Train Loss: 0.0639514 | Valid Loss: 0.0622806
Epoch: 241/500 | Train Loss: 0.0639514 | Valid Loss: 0.0621873
Epoch: 242/500 | Train Loss: 0.0639569 | Valid Loss: 0.0621613
Epoch: 243/500 | Train Loss: 0.0639884 | Valid Loss: 0.0621436
Epoch: 244/500 | Train Loss: 0.0639963 | Valid Loss: 0.0622172
Epoch: 245/500 | Train Loss: 0.0639251 | Valid Loss: 0.0620899
Epoch: 246/500 | Train Loss: 0.0638784 | Valid Loss: 0.0622889
Epoch: 247/500 | Train Loss: 0.0639576 | Valid Loss: 0.0622069
Epoch: 248/500 | Train Loss: 0.0640036 | Valid Loss: 0.0622136
Epoch: 249/500 | Train Loss: 0.0638464 | Valid Loss: 0.0621102
