Epoch: 1/500 | Train Loss: 0.0959017 | Valid Loss: 0.0878806
Epoch: 2/500 | Train Loss: 0.0864794 | Valid Loss: 0.0831072
Epoch: 3/500 | Train Loss: 0.0849417 | Valid Loss: 0.0831143
Epoch: 4/500 | Train Loss: 0.0839337 | Valid Loss: 0.0812462
Epoch: 5/500 | Train Loss: 0.0830284 | Valid Loss: 0.0801415
Epoch: 6/500 | Train Loss: 0.0830941 | Valid Loss: 0.0809978
Epoch: 7/500 | Train Loss: 0.0830242 | Valid Loss: 0.0797788
Epoch: 8/500 | Train Loss: 0.0820778 | Valid Loss: 0.0791306
Epoch: 9/500 | Train Loss: 0.0817101 | Valid Loss: 0.0790742
Epoch: 10/500 | Train Loss: 0.0819706 | Valid Loss: 0.0798749
Epoch: 11/500 | Train Loss: 0.0819527 | Valid Loss: 0.0792098
Epoch: 12/500 | Train Loss: 0.0817322 | Valid Loss: 0.0805547
Epoch: 13/500 | Train Loss: 0.0815539 | Valid Loss: 0.080393
Epoch: 14/500 | Train Loss: 0.0817301 | Valid Loss: 0.0797728
Epoch: 15/500 | Train Loss: 0.0811982 | Valid Loss: 0.0811001
Epoch: 16/500 | Train Loss: 0.0814219 | Valid Loss: 0.0796755
Epoch: 17/500 | Train Loss: 0.080797 | Valid Loss: 0.0779943
Epoch: 18/500 | Train Loss: 0.0808316 | Valid Loss: 0.0793333
Epoch: 19/500 | Train Loss: 0.0812698 | Valid Loss: 0.078647
Epoch: 20/500 | Train Loss: 0.0810903 | Valid Loss: 0.0782693
Epoch: 21/500 | Train Loss: 0.0806931 | Valid Loss: 0.0784569
Epoch: 22/500 | Train Loss: 0.0808135 | Valid Loss: 0.0787921
Epoch: 23/500 | Train Loss: 0.0810343 | Valid Loss: 0.0786877
Epoch: 24/500 | Train Loss: 0.080449 | Valid Loss: 0.077973
Epoch: 25/500 | Train Loss: 0.0804938 | Valid Loss: 0.0778941
Epoch: 26/500 | Train Loss: 0.0804257 | Valid Loss: 0.0775604
