Epoch: 1/500 | Train Loss: 0.166912 | Valid Loss: 0.157337
Epoch: 2/500 | Train Loss: 0.155444 | Valid Loss: 0.152516
Epoch: 3/500 | Train Loss: 0.153312 | Valid Loss: 0.149448
Epoch: 4/500 | Train Loss: 0.152223 | Valid Loss: 0.153457
Epoch: 5/500 | Train Loss: 0.151335 | Valid Loss: 0.146509
Epoch: 6/500 | Train Loss: 0.151505 | Valid Loss: 0.147716
Epoch: 7/500 | Train Loss: 0.150615 | Valid Loss: 0.147793
Epoch: 8/500 | Train Loss: 0.150419 | Valid Loss: 0.148429
Epoch: 9/500 | Train Loss: 0.149044 | Valid Loss: 0.145391
Epoch: 10/500 | Train Loss: 0.149402 | Valid Loss: 0.145665
Epoch: 11/500 | Train Loss: 0.149189 | Valid Loss: 0.145319
Epoch: 12/500 | Train Loss: 0.149201 | Valid Loss: 0.146409
Epoch: 13/500 | Train Loss: 0.148896 | Valid Loss: 0.145175
Epoch: 14/500 | Train Loss: 0.148605 | Valid Loss: 0.145906
Epoch: 15/500 | Train Loss: 0.148532 | Valid Loss: 0.144646
Epoch: 16/500 | Train Loss: 0.148082 | Valid Loss: 0.145358
Epoch: 17/500 | Train Loss: 0.148149 | Valid Loss: 0.145911
Epoch: 18/500 | Train Loss: 0.148018 | Valid Loss: 0.144323
Epoch: 19/500 | Train Loss: 0.147374 | Valid Loss: 0.14377
Epoch: 20/500 | Train Loss: 0.147412 | Valid Loss: 0.144406
Epoch: 21/500 | Train Loss: 0.147517 | Valid Loss: 0.143469
Epoch: 22/500 | Train Loss: 0.148025 | Valid Loss: 0.145488
Epoch: 23/500 | Train Loss: 0.147278 | Valid Loss: 0.143733
Epoch: 24/500 | Train Loss: 0.147292 | Valid Loss: 0.144246
Epoch: 25/500 | Train Loss: 0.147594 | Valid Loss: 0.143951
Epoch: 26/500 | Train Loss: 0.147019 | Valid Loss: 0.143825
Epoch: 27/500 | Train Loss: 0.146525 | Valid Loss: 0.144227
Epoch: 28/500 | Train Loss: 0.146451 | Valid Loss: 0.14407
Epoch: 29/500 | Train Loss: 0.146838 | Valid Loss: 0.143674
Epoch: 30/500 | Train Loss: 0.146579 | Valid Loss: 0.143478
Epoch: 31/500 | Train Loss: 0.146965 | Valid Loss: 0.143254
Epoch: 32/500 | Train Loss: 0.146528 | Valid Loss: 0.143437
Epoch: 33/500 | Train Loss: 0.146554 | Valid Loss: 0.143044
Epoch: 34/500 | Train Loss: 0.146444 | Valid Loss: 0.142596
Epoch: 35/500 | Train Loss: 0.145959 | Valid Loss: 0.14302
Epoch: 36/500 | Train Loss: 0.146865 | Valid Loss: 0.144518
Epoch: 37/500 | Train Loss: 0.146529 | Valid Loss: 0.143433
Epoch: 38/500 | Train Loss: 0.146155 | Valid Loss: 0.14562
Epoch: 39/500 | Train Loss: 0.146278 | Valid Loss: 0.142734
Epoch: 40/500 | Train Loss: 0.14581 | Valid Loss: 0.14337
Epoch: 41/500 | Train Loss: 0.145906 | Valid Loss: 0.143961
Epoch: 42/500 | Train Loss: 0.145897 | Valid Loss: 0.142797
Epoch: 43/500 | Train Loss: 0.145514 | Valid Loss: 0.142975
Epoch: 44/500 | Train Loss: 0.145191 | Valid Loss: 0.141998
Epoch: 45/500 | Train Loss: 0.14636 | Valid Loss: 0.14329
Epoch: 46/500 | Train Loss: 0.145977 | Valid Loss: 0.143333
Epoch: 47/500 | Train Loss: 0.145684 | Valid Loss: 0.143381
Epoch: 48/500 | Train Loss: 0.145951 | Valid Loss: 0.143064
Epoch: 49/500 | Train Loss: 0.146177 | Valid Loss: 0.142936
Epoch: 50/500 | Train Loss: 0.145911 | Valid Loss: 0.143516
Epoch: 51/500 | Train Loss: 0.145433 | Valid Loss: 0.144551
Epoch: 52/500 | Train Loss: 0.14586 | Valid Loss: 0.143058
Epoch: 53/500 | Train Loss: 0.145882 | Valid Loss: 0.143074
Epoch: 54/500 | Train Loss: 0.145522 | Valid Loss: 0.142793
Epoch: 55/500 | Train Loss: 0.145562 | Valid Loss: 0.142488
Epoch: 56/500 | Train Loss: 0.143725 | Valid Loss: 0.140965
Epoch: 57/500 | Train Loss: 0.143329 | Valid Loss: 0.140869
Epoch: 58/500 | Train Loss: 0.143143 | Valid Loss: 0.140678
Epoch: 59/500 | Train Loss: 0.14312 | Valid Loss: 0.140688
Epoch: 60/500 | Train Loss: 0.143154 | Valid Loss: 0.140699
Epoch: 61/500 | Train Loss: 0.143352 | Valid Loss: 0.141117
Epoch: 62/500 | Train Loss: 0.143179 | Valid Loss: 0.14081
Epoch: 63/500 | Train Loss: 0.143246 | Valid Loss: 0.140798
Epoch: 64/500 | Train Loss: 0.143402 | Valid Loss: 0.140867
Epoch: 65/500 | Train Loss: 0.143054 | Valid Loss: 0.140558
Epoch: 66/500 | Train Loss: 0.143098 | Valid Loss: 0.140718
Epoch: 67/500 | Train Loss: 0.143029 | Valid Loss: 0.140483
Epoch: 68/500 | Train Loss: 0.142745 | Valid Loss: 0.140265
Epoch: 69/500 | Train Loss: 0.142929 | Valid Loss: 0.140526
Epoch: 70/500 | Train Loss: 0.142935 | Valid Loss: 0.140389
Epoch: 71/500 | Train Loss: 0.143007 | Valid Loss: 0.14044
Epoch: 72/500 | Train Loss: 0.142878 | Valid Loss: 0.140623
Epoch: 73/500 | Train Loss: 0.142873 | Valid Loss: 0.140537
Epoch: 74/500 | Train Loss: 0.142796 | Valid Loss: 0.140679
Epoch: 75/500 | Train Loss: 0.142891 | Valid Loss: 0.14026
Epoch: 76/500 | Train Loss: 0.142821 | Valid Loss: 0.140369
Epoch: 77/500 | Train Loss: 0.142838 | Valid Loss: 0.14062
Epoch: 78/500 | Train Loss: 0.142952 | Valid Loss: 0.140692
Epoch: 79/500 | Train Loss: 0.143005 | Valid Loss: 0.140678
Epoch: 80/500 | Train Loss: 0.142762 | Valid Loss: 0.14056
Epoch: 81/500 | Train Loss: 0.142536 | Valid Loss: 0.14037
Epoch: 82/500 | Train Loss: 0.142426 | Valid Loss: 0.140264
Epoch: 83/500 | Train Loss: 0.142392 | Valid Loss: 0.140215
Epoch: 84/500 | Train Loss: 0.142383 | Valid Loss: 0.140264
Epoch: 85/500 | Train Loss: 0.142395 | Valid Loss: 0.140221
Epoch: 86/500 | Train Loss: 0.142316 | Valid Loss: 0.140179
Epoch: 87/500 | Train Loss: 0.142255 | Valid Loss: 0.140082
Epoch: 88/500 | Train Loss: 0.142316 | Valid Loss: 0.140131
Epoch: 89/500 | Train Loss: 0.142302 | Valid Loss: 0.14014
Epoch: 90/500 | Train Loss: 0.142279 | Valid Loss: 0.140124
Epoch: 91/500 | Train Loss: 0.142293 | Valid Loss: 0.14011
Epoch: 92/500 | Train Loss: 0.142268 | Valid Loss: 0.140002
Epoch: 93/500 | Train Loss: 0.142186 | Valid Loss: 0.140118
Epoch: 94/500 | Train Loss: 0.142169 | Valid Loss: 0.13996
Epoch: 95/500 | Train Loss: 0.142209 | Valid Loss: 0.140145
Epoch: 96/500 | Train Loss: 0.14218 | Valid Loss: 0.139876
Epoch: 97/500 | Train Loss: 0.142102 | Valid Loss: 0.140058
Epoch: 98/500 | Train Loss: 0.14209 | Valid Loss: 0.139904
Epoch: 99/500 | Train Loss: 0.14212 | Valid Loss: 0.139956
Epoch: 100/500 | Train Loss: 0.142171 | Valid Loss: 0.139883
Epoch: 101/500 | Train Loss: 0.142095 | Valid Loss: 0.139987
Epoch: 102/500 | Train Loss: 0.142147 | Valid Loss: 0.139853
Epoch: 103/500 | Train Loss: 0.142046 | Valid Loss: 0.139885
Epoch: 104/500 | Train Loss: 0.14213 | Valid Loss: 0.13994
Epoch: 105/500 | Train Loss: 0.142093 | Valid Loss: 0.140031
Epoch: 106/500 | Train Loss: 0.142036 | Valid Loss: 0.140035
Epoch: 107/500 | Train Loss: 0.142065 | Valid Loss: 0.140099
Epoch: 108/500 | Train Loss: 0.14211 | Valid Loss: 0.139919
Epoch: 109/500 | Train Loss: 0.142021 | Valid Loss: 0.139903
Epoch: 110/500 | Train Loss: 0.142117 | Valid Loss: 0.139966
Epoch: 111/500 | Train Loss: 0.142064 | Valid Loss: 0.139959
Epoch: 112/500 | Train Loss: 0.142111 | Valid Loss: 0.13994
Epoch: 113/500 | Train Loss: 0.142047 | Valid Loss: 0.139908
Epoch: 114/500 | Train Loss: 0.142013 | Valid Loss: 0.13983
Epoch: 115/500 | Train Loss: 0.142018 | Valid Loss: 0.139841
