Epoch: 1/500 | Train Loss: 0.145862 | Valid Loss: 0.145441
Epoch: 2/500 | Train Loss: 0.145598 | Valid Loss: 0.145789
Epoch: 3/500 | Train Loss: 0.145981 | Valid Loss: 0.146619
Epoch: 4/500 | Train Loss: 0.146243 | Valid Loss: 0.147083
Epoch: 5/500 | Train Loss: 0.145988 | Valid Loss: 0.146468
Epoch: 6/500 | Train Loss: 0.146215 | Valid Loss: 0.147677
Epoch: 7/500 | Train Loss: 0.145775 | Valid Loss: 0.145086
Epoch: 8/500 | Train Loss: 0.146345 | Valid Loss: 0.146328
Epoch: 9/500 | Train Loss: 0.145 | Valid Loss: 0.14485
Epoch: 10/500 | Train Loss: 0.144433 | Valid Loss: 0.145781
Epoch: 11/500 | Train Loss: 0.145505 | Valid Loss: 0.145817
Epoch: 12/500 | Train Loss: 0.145072 | Valid Loss: 0.145232
Epoch: 13/500 | Train Loss: 0.145773 | Valid Loss: 0.145929
Epoch: 14/500 | Train Loss: 0.145917 | Valid Loss: 0.146506
Epoch: 15/500 | Train Loss: 0.146068 | Valid Loss: 0.1459
Epoch: 16/500 | Train Loss: 0.14558 | Valid Loss: 0.145615
Epoch: 17/500 | Train Loss: 0.145284 | Valid Loss: 0.145358
Epoch: 18/500 | Train Loss: 0.144773 | Valid Loss: 0.14466
Epoch: 19/500 | Train Loss: 0.144843 | Valid Loss: 0.146376
Epoch: 20/500 | Train Loss: 0.145455 | Valid Loss: 0.145847
Epoch: 21/500 | Train Loss: 0.145037 | Valid Loss: 0.145394
Epoch: 22/500 | Train Loss: 0.144648 | Valid Loss: 0.145055
Epoch: 23/500 | Train Loss: 0.144414 | Valid Loss: 0.144843
Epoch: 24/500 | Train Loss: 0.144238 | Valid Loss: 0.144649
Epoch: 25/500 | Train Loss: 0.144111 | Valid Loss: 0.144372
Epoch: 26/500 | Train Loss: 0.144002 | Valid Loss: 0.144469
Epoch: 27/500 | Train Loss: 0.143914 | Valid Loss: 0.144357
Epoch: 28/500 | Train Loss: 0.143791 | Valid Loss: 0.14403
Epoch: 29/500 | Train Loss: 0.143571 | Valid Loss: 0.143938
Epoch: 30/500 | Train Loss: 0.143175 | Valid Loss: 0.143417
Epoch: 31/500 | Train Loss: 0.142809 | Valid Loss: 0.143144
Epoch: 32/500 | Train Loss: 0.142724 | Valid Loss: 0.143035
Epoch: 33/500 | Train Loss: 0.14251 | Valid Loss: 0.142759
