Epoch: 1/500 | Train Loss: 0.103083 | Valid Loss: 0.0941534
Epoch: 2/500 | Train Loss: 0.0915176 | Valid Loss: 0.0890759
Epoch: 3/500 | Train Loss: 0.0887171 | Valid Loss: 0.0871147
Epoch: 4/500 | Train Loss: 0.0873889 | Valid Loss: 0.0851732
Epoch: 5/500 | Train Loss: 0.0861768 | Valid Loss: 0.0839394
Epoch: 6/500 | Train Loss: 0.0858 | Valid Loss: 0.0844931
Epoch: 7/500 | Train Loss: 0.0852471 | Valid Loss: 0.0826549
Epoch: 8/500 | Train Loss: 0.0850545 | Valid Loss: 0.083368
Epoch: 9/500 | Train Loss: 0.0848203 | Valid Loss: 0.0834573
Epoch: 10/500 | Train Loss: 0.0845586 | Valid Loss: 0.082311
Epoch: 11/500 | Train Loss: 0.0841633 | Valid Loss: 0.0822199
Epoch: 12/500 | Train Loss: 0.0842867 | Valid Loss: 0.0828029
Epoch: 13/500 | Train Loss: 0.084015 | Valid Loss: 0.0823811
Epoch: 14/500 | Train Loss: 0.0840219 | Valid Loss: 0.0815689
Epoch: 15/500 | Train Loss: 0.0839028 | Valid Loss: 0.0820559
Epoch: 16/500 | Train Loss: 0.0836837 | Valid Loss: 0.0815071
Epoch: 17/500 | Train Loss: 0.0834248 | Valid Loss: 0.0814696
Epoch: 18/500 | Train Loss: 0.0838228 | Valid Loss: 0.0815289
Epoch: 19/500 | Train Loss: 0.0836269 | Valid Loss: 0.0823433
Epoch: 20/500 | Train Loss: 0.0834404 | Valid Loss: 0.0812938
Epoch: 21/500 | Train Loss: 0.0834775 | Valid Loss: 0.0820564
Epoch: 22/500 | Train Loss: 0.0835877 | Valid Loss: 0.0821547
Epoch: 23/500 | Train Loss: 0.0833524 | Valid Loss: 0.080958
Epoch: 24/500 | Train Loss: 0.0830741 | Valid Loss: 0.0810871
Epoch: 25/500 | Train Loss: 0.0832142 | Valid Loss: 0.081839
Epoch: 26/500 | Train Loss: 0.0832335 | Valid Loss: 0.0804214
Epoch: 27/500 | Train Loss: 0.0832455 | Valid Loss: 0.0812558
Epoch: 28/500 | Train Loss: 0.0831259 | Valid Loss: 0.081437
Epoch: 29/500 | Train Loss: 0.0830735 | Valid Loss: 0.0814867
